Categoría: Todas las categorías

Día,Bitcoin: (Estados Unidos)
2012-05-01,74
2012-05-02,74
2012-05-03,44
2012-05-04,40
2012-05-05,74
2012-05-06,61
2012-05-07,30
2012-05-08,69
2012-05-09,26
2012-05-10,89
2012-05-11,79
2012-05-12,87
2012-05-13,100
2012-05-14,60
2012-05-15,84
2012-05-16,59
2012-05-17,83
2012-05-18,52
2012-05-19,69
2012-05-20,67
2012-05-21,72
2012-05-22,41
2012-05-23,63
2012-05-24,34
2012-05-25,91
2012-05-26,41
2012-05-27,66
2012-05-28,67
2012-05-29,81
2012-05-30,32
2012-05-31,80
2012-06-01,30
