Categoría: Todas las categorías

Día,Bitcoin: (Estados Unidos)
2017-03-01,47
2017-03-02,72
2017-03-03,79
2017-03-04,59
2017-03-05,50
2017-03-06,55
2017-03-07,56
2017-03-08,56
2017-03-09,54
2017-03-10,100
2017-03-11,76
2017-03-12,56
2017-03-13,52
2017-03-14,46
2017-03-15,50
2017-03-16,52
2017-03-17,51
2017-03-18,63
2017-03-19,54
2017-03-20,53
2017-03-21,48
2017-03-22,46
2017-03-23,45
2017-03-24,49
2017-03-25,49
2017-03-26,49
2017-03-27,46
2017-03-28,43
2017-03-29,47
2017-03-30,38
2017-03-31,41
2017-04-01,43
