Categoría: Todas las categorías

Día,Bitcoin: (Estados Unidos)
2014-01-01,47
2014-01-02,52
2014-01-03,52
2014-01-04,45
2014-01-05,52
2014-01-06,61
2014-01-07,55
2014-01-08,60
2014-01-09,59
2014-01-10,54
2014-01-11,50
2014-01-12,50
2014-01-13,48
2014-01-14,51
2014-01-15,60
2014-01-16,74
2014-01-17,78
2014-01-18,50
2014-01-19,50
2014-01-20,54
2014-01-21,69
2014-01-22,68
2014-01-23,60
2014-01-24,61
2014-01-25,53
2014-01-26,50
2014-01-27,85
2014-01-28,100
2014-01-29,66
2014-01-30,59
2014-01-31,56
2014-02-01,50
