Categoría: Todas las categorías

Día,Bitcoin: (Estados Unidos)
2015-01-01,48
2015-01-02,46
2015-01-03,49
2015-01-04,64
2015-01-05,72
2015-01-06,68
2015-01-07,55
2015-01-08,63
2015-01-09,57
2015-01-10,59
2015-01-11,54
2015-01-12,54
2015-01-13,60
2015-01-14,100
2015-01-15,91
2015-01-16,77
2015-01-17,61
2015-01-18,55
2015-01-19,55
2015-01-20,52
2015-01-21,55
2015-01-22,56
2015-01-23,53
2015-01-24,56
2015-01-25,51
2015-01-26,92
2015-01-27,71
2015-01-28,67
2015-01-29,61
2015-01-30,54
2015-01-31,46
2015-02-01,51
