Categoría: Todas las categorías

Día,Bitcoin: (Estados Unidos)
2013-05-01,98
2013-05-02,98
2013-05-03,100
2013-05-04,91
2013-05-05,77
2013-05-06,87
2013-05-07,78
2013-05-08,64
2013-05-09,86
2013-05-10,69
2013-05-11,62
2013-05-12,64
2013-05-13,68
2013-05-14,80
2013-05-15,94
2013-05-16,82
2013-05-17,82
2013-05-18,78
2013-05-19,88
2013-05-20,72
2013-05-21,57
2013-05-22,57
2013-05-23,54
2013-05-24,71
2013-05-25,55
2013-05-26,49
2013-05-27,54
2013-05-28,63
2013-05-29,80
2013-05-30,59
2013-05-31,66
2013-06-01,60
