Categoría: Todas las categorías

Día,Bitcoin: (Estados Unidos)
2015-05-01,65
2015-05-02,63
2015-05-03,59
2015-05-04,45
2015-05-05,63
2015-05-06,56
2015-05-07,58
2015-05-08,60
2015-05-09,53
2015-05-10,50
2015-05-11,63
2015-05-12,58
2015-05-13,65
2015-05-14,100
2015-05-15,66
2015-05-16,57
2015-05-17,58
2015-05-18,52
2015-05-19,62
2015-05-20,77
2015-05-21,60
2015-05-22,58
2015-05-23,63
2015-05-24,59
2015-05-25,67
2015-05-26,56
2015-05-27,64
2015-05-28,57
2015-05-29,67
2015-05-30,81
2015-05-31,74
2015-06-01,62
