Categoría: Todas las categorías

Día,Bitcoin: (Estados Unidos)
2014-08-01,84
2014-08-02,67
2014-08-03,63
2014-08-04,62
2014-08-05,77
2014-08-06,75
2014-08-07,79
2014-08-08,77
2014-08-09,67
2014-08-10,66
2014-08-11,78
2014-08-12,79
2014-08-13,98
2014-08-14,100
2014-08-15,88
2014-08-16,85
2014-08-17,71
2014-08-18,92
2014-08-19,98
2014-08-20,91
2014-08-21,69
2014-08-22,71
2014-08-23,66
2014-08-24,75
2014-08-25,74
2014-08-26,71
2014-08-27,55
2014-08-28,72
2014-08-29,69
2014-08-30,74
2014-08-31,87
2014-09-01,83
