Categoría: Todas las categorías

Día,Bitcoin: (Estados Unidos)
2015-03-01,75
2015-03-02,83
2015-03-03,84
2015-03-04,79
2015-03-05,82
2015-03-06,90
2015-03-07,100
2015-03-08,81
2015-03-09,71
2015-03-10,93
2015-03-11,85
2015-03-12,79
2015-03-13,86
2015-03-14,75
2015-03-15,75
2015-03-16,89
2015-03-17,83
2015-03-18,86
2015-03-19,94
2015-03-20,84
2015-03-21,61
2015-03-22,92
2015-03-23,75
2015-03-24,88
2015-03-25,86
2015-03-26,74
2015-03-27,79
2015-03-28,57
2015-03-29,54
2015-03-30,100
2015-03-31,97
2015-04-01,90
