Categoría: Todas las categorías

Día,Bitcoin: (Estados Unidos)
2013-01-01,65
2013-01-02,42
2013-01-03,36
2013-01-04,75
2013-01-05,100
2013-01-06,67
2013-01-07,66
2013-01-08,58
2013-01-09,63
2013-01-10,54
2013-01-11,66
2013-01-12,74
2013-01-13,57
2013-01-14,52
2013-01-15,49
2013-01-16,46
2013-01-17,50
2013-01-18,50
2013-01-19,48
2013-01-20,54
2013-01-21,58
2013-01-22,73
2013-01-23,67
2013-01-24,90
2013-01-25,72
2013-01-26,52
2013-01-27,64
2013-01-28,58
2013-01-29,78
2013-01-30,55
2013-01-31,75
2013-02-01,87
