Categoría: Todas las categorías

Día,Bitcoin: (Estados Unidos)
2014-05-01,80
2014-05-02,73
2014-05-03,71
2014-05-04,74
2014-05-05,88
2014-05-06,77
2014-05-07,70
2014-05-08,81
2014-05-09,82
2014-05-10,60
2014-05-11,59
2014-05-12,72
2014-05-13,79
2014-05-14,74
2014-05-15,92
2014-05-16,77
2014-05-17,65
2014-05-18,68
2014-05-19,77
2014-05-20,73
2014-05-21,76
2014-05-22,75
2014-05-23,80
2014-05-24,65
2014-05-25,73
2014-05-26,84
2014-05-27,78
2014-05-28,73
2014-05-29,100
2014-05-30,100
2014-05-31,77
2014-06-01,76
