Categoría: Todas las categorías

Día,Bitcoin: (Estados Unidos)
2012-03-01,100
2012-03-02,97
2012-03-03,88
2012-03-04,54
2012-03-05,59
2012-03-06,59
2012-03-07,38
2012-03-08,49
2012-03-09,43
2012-03-10,31
2012-03-11,71
2012-03-12,32
2012-03-13,48
2012-03-14,52
2012-03-15,37
2012-03-16,60
2012-03-17,46
2012-03-18,86
2012-03-19,41
2012-03-20,41
2012-03-21,56
2012-03-22,53
2012-03-23,45
2012-03-24,47
2012-03-25,68
2012-03-26,49
2012-03-27,59
2012-03-28,48
2012-03-29,84
2012-03-30,34
2012-03-31,27
2012-04-01,62
