Categoría: Todas las categorías

Día,Bitcoin: (Estados Unidos)
2011-07-01,62
2011-07-02,51
2011-07-03,64
2011-07-04,54
2011-07-05,46
2011-07-06,48
2011-07-07,62
2011-07-08,42
2011-07-09,46
2011-07-10,37
2011-07-11,40
2011-07-12,40
2011-07-13,56
2011-07-14,100
2011-07-15,52
2011-07-16,46
2011-07-17,55
2011-07-18,48
2011-07-19,55
2011-07-20,58
2011-07-21,47
2011-07-22,47
2011-07-23,35
2011-07-24,57
2011-07-25,45
2011-07-26,60
2011-07-27,53
2011-07-28,41
2011-07-29,42
2011-07-30,36
2011-07-31,44
2011-08-01,47
