Categoría: Todas las categorías

Día,Bitcoin: (Estados Unidos)
2016-01-01,46
2016-01-02,56
2016-01-03,60
2016-01-04,65
2016-01-05,73
2016-01-06,64
2016-01-07,86
2016-01-08,78
2016-01-09,69
2016-01-10,48
2016-01-11,62
2016-01-12,54
2016-01-13,63
2016-01-14,60
2016-01-15,100
2016-01-16,98
2016-01-17,83
2016-01-18,80
2016-01-19,76
2016-01-20,78
2016-01-21,75
2016-01-22,67
2016-01-23,62
2016-01-24,60
2016-01-25,60
2016-01-26,66
2016-01-27,63
2016-01-28,61
2016-01-29,65
2016-01-30,58
2016-01-31,53
2016-02-01,51
