Categoría: Todas las categorías

Día,Bitcoin: (Estados Unidos)
2012-12-01,49
2012-12-02,65
2012-12-03,55
2012-12-04,65
2012-12-05,39
2012-12-06,65
2012-12-07,73
2012-12-08,70
2012-12-09,89
2012-12-10,100
2012-12-11,82
2012-12-12,92
2012-12-13,67
2012-12-14,57
2012-12-15,64
2012-12-16,63
2012-12-17,47
2012-12-18,64
2012-12-19,63
2012-12-20,56
2012-12-21,26
2012-12-22,52
2012-12-23,64
2012-12-24,57
2012-12-25,69
2012-12-26,37
2012-12-27,86
2012-12-28,58
2012-12-29,59
2012-12-30,66
2012-12-31,57
2013-01-01,94
