Categoría: Todas las categorías

Día,Bitcoin: (Estados Unidos)
2013-08-01,61
2013-08-02,56
2013-08-03,60
2013-08-04,67
2013-08-05,57
2013-08-06,51
2013-08-07,54
2013-08-08,56
2013-08-09,62
2013-08-10,50
2013-08-11,56
2013-08-12,74
2013-08-13,84
2013-08-14,100
2013-08-15,91
2013-08-16,67
2013-08-17,65
2013-08-18,67
2013-08-19,74
2013-08-20,68
2013-08-21,67
2013-08-22,76
2013-08-23,70
2013-08-24,55
2013-08-25,47
2013-08-26,59
2013-08-27,71
2013-08-28,64
2013-08-29,58
2013-08-30,67
2013-08-31,55
2013-09-01,55
