Categoría: Todas las categorías

Día,Bitcoin: (Estados Unidos)
2012-01-01,11
2012-01-02,9
2012-01-03,17
2012-01-04,16
2012-01-05,17
2012-01-06,7
2012-01-07,14
2012-01-08,13
2012-01-09,16
2012-01-10,14
2012-01-11,15
2012-01-12,15
2012-01-13,10
2012-01-14,16
2012-01-15,17
2012-01-16,100
2012-01-17,39
2012-01-18,24
2012-01-19,20
2012-01-20,22
2012-01-21,30
2012-01-22,14
2012-01-23,11
2012-01-24,16
2012-01-25,15
2012-01-26,15
2012-01-27,18
2012-01-28,12
2012-01-29,7
2012-01-30,17
2012-01-31,13
2012-02-01,14
