Categoría: Todas las categorías

Día,Bitcoin: (Estados Unidos)
2012-10-01,75
2012-10-02,52
2012-10-03,56
2012-10-04,62
2012-10-05,58
2012-10-06,60
2012-10-07,47
2012-10-08,57
2012-10-09,54
2012-10-10,81
2012-10-11,61
2012-10-12,92
2012-10-13,38
2012-10-14,45
2012-10-15,70
2012-10-16,100
2012-10-17,43
2012-10-18,66
2012-10-19,81
2012-10-20,46
2012-10-21,43
2012-10-22,67
2012-10-23,48
2012-10-24,62
2012-10-25,61
2012-10-26,53
2012-10-27,26
2012-10-28,53
2012-10-29,51
2012-10-30,40
2012-10-31,34
2012-11-01,56
