Categoría: Todas las categorías

Día,Bitcoin: (Estados Unidos)
2016-08-01,37
2016-08-02,57
2016-08-03,100
2016-08-04,56
2016-08-05,45
2016-08-06,40
2016-08-07,47
2016-08-08,44
2016-08-09,37
2016-08-10,35
2016-08-11,35
2016-08-12,28
2016-08-13,32
2016-08-14,30
2016-08-15,33
2016-08-16,32
2016-08-17,37
2016-08-18,34
2016-08-19,34
2016-08-20,27
2016-08-21,31
2016-08-22,30
2016-08-23,36
2016-08-24,36
2016-08-25,38
2016-08-26,32
2016-08-27,33
2016-08-28,29
2016-08-29,30
2016-08-30,31
2016-08-31,38
2016-09-01,36
