Categoría: Todas las categorías

Día,Bitcoin: (Estados Unidos)
2015-10-01,53
2015-10-02,61
2015-10-03,51
2015-10-04,51
2015-10-05,60
2015-10-06,70
2015-10-07,55
2015-10-08,77
2015-10-09,67
2015-10-10,56
2015-10-11,56
2015-10-12,64
2015-10-13,69
2015-10-14,60
2015-10-15,55
2015-10-16,68
2015-10-17,66
2015-10-18,58
2015-10-19,60
2015-10-20,63
2015-10-21,63
2015-10-22,70
2015-10-23,59
2015-10-24,65
2015-10-25,73
2015-10-26,62
2015-10-27,71
2015-10-28,79
2015-10-29,93
2015-10-30,100
2015-10-31,78
2015-11-01,76
