Categoría: Todas las categorías

Día,Bitcoin: (Estados Unidos)
2011-08-01,69
2011-08-02,73
2011-08-03,99
2011-08-04,65
2011-08-05,82
2011-08-06,69
2011-08-07,87
2011-08-08,71
2011-08-09,67
2011-08-10,51
2011-08-11,65
2011-08-12,51
2011-08-13,64
2011-08-14,55
2011-08-15,52
2011-08-16,76
2011-08-17,66
2011-08-18,50
2011-08-19,70
2011-08-20,40
2011-08-21,75
2011-08-22,66
2011-08-23,47
2011-08-24,100
2011-08-25,72
2011-08-26,58
2011-08-27,56
2011-08-28,60
2011-08-29,50
2011-08-30,44
2011-08-31,55
2011-09-01,45
