Categoría: Todas las categorías

Día,Bitcoin: (Estados Unidos)
2017-05-01,20
2017-05-02,22
2017-05-03,21
2017-05-04,31
2017-05-05,24
2017-05-06,20
2017-05-07,20
2017-05-08,23
2017-05-09,32
2017-05-10,28
2017-05-11,34
2017-05-12,35
2017-05-13,35
2017-05-14,30
2017-05-15,36
2017-05-16,35
2017-05-17,29
2017-05-18,26
2017-05-19,35
2017-05-20,36
2017-05-21,37
2017-05-22,74
2017-05-23,70
2017-05-24,78
2017-05-25,100
2017-05-26,83
2017-05-27,61
2017-05-28,45
2017-05-29,42
2017-05-30,44
2017-05-31,44
2017-06-01,43
