Categoría: Todas las categorías

Día,Bitcoin: (Estados Unidos)
2014-12-01,21
2014-12-02,25
2014-12-03,25
2014-12-04,22
2014-12-05,23
2014-12-06,22
2014-12-07,29
2014-12-08,29
2014-12-09,24
2014-12-10,28
2014-12-11,37
2014-12-12,30
2014-12-13,25
2014-12-14,21
2014-12-15,25
2014-12-16,27
2014-12-17,31
2014-12-18,33
2014-12-19,26
2014-12-20,27
2014-12-21,22
2014-12-22,25
2014-12-23,25
2014-12-24,24
2014-12-25,26
2014-12-26,35
2014-12-27,100
2014-12-28,25
2014-12-29,28
2014-12-30,25
2014-12-31,24
2015-01-01,22
