Categoría: Todas las categorías

Día,Bitcoin: (Estados Unidos)
2016-03-01,91
2016-03-02,85
2016-03-03,100
2016-03-04,89
2016-03-05,100
2016-03-06,78
2016-03-07,87
2016-03-08,84
2016-03-09,88
2016-03-10,79
2016-03-11,79
2016-03-12,80
2016-03-13,77
2016-03-14,85
2016-03-15,84
2016-03-16,73
2016-03-17,82
2016-03-18,76
2016-03-19,72
2016-03-20,87
2016-03-21,79
2016-03-22,71
2016-03-23,72
2016-03-24,68
2016-03-25,64
2016-03-26,64
2016-03-27,73
2016-03-28,80
2016-03-29,73
2016-03-30,82
2016-03-31,88
2016-04-01,74
