Categoría: Todas las categorías

Día,Bitcoin: (Estados Unidos)
2016-05-01,31
2016-05-02,100
2016-05-03,60
2016-05-04,45
2016-05-05,47
2016-05-06,39
2016-05-07,42
2016-05-08,37
2016-05-09,41
2016-05-10,39
2016-05-11,36
2016-05-12,37
2016-05-13,34
2016-05-14,33
2016-05-15,32
2016-05-16,30
2016-05-17,35
2016-05-18,33
2016-05-19,36
2016-05-20,39
2016-05-21,34
2016-05-22,29
2016-05-23,30
2016-05-24,34
2016-05-25,32
2016-05-26,30
2016-05-27,41
2016-05-28,49
2016-05-29,53
2016-05-30,50
2016-05-31,48
2016-06-01,48
