Categoría: Todas las categorías

Día,Bitcoin: (Estados Unidos)
2012-07-01,91
2012-07-02,51
2012-07-03,61
2012-07-04,64
2012-07-05,44
2012-07-06,41
2012-07-07,38
2012-07-08,70
2012-07-09,94
2012-07-10,37
2012-07-11,86
2012-07-12,52
2012-07-13,75
2012-07-14,68
2012-07-15,73
2012-07-16,60
2012-07-17,59
2012-07-18,21
2012-07-19,87
2012-07-20,86
2012-07-21,94
2012-07-22,82
2012-07-23,56
2012-07-24,72
2012-07-25,49
2012-07-26,59
2012-07-27,98
2012-07-28,33
2012-07-29,64
2012-07-30,62
2012-07-31,100
2012-08-01,69
