Categoría: Todas las categorías

Día,Bitcoin: (Estados Unidos)
2016-07-01,72
2016-07-02,65
2016-07-03,64
2016-07-04,65
2016-07-05,63
2016-07-06,71
2016-07-07,73
2016-07-08,60
2016-07-09,100
2016-07-10,76
2016-07-11,64
2016-07-12,66
2016-07-13,61
2016-07-14,56
2016-07-15,60
2016-07-16,60
2016-07-17,58
2016-07-18,55
2016-07-19,56
2016-07-20,51
2016-07-21,51
2016-07-22,47
2016-07-23,44
2016-07-24,46
2016-07-25,50
2016-07-26,51
2016-07-27,53
2016-07-28,49
2016-07-29,49
2016-07-30,50
2016-07-31,50
2016-08-01,52
