Categoría: Todas las categorías

Día,Bitcoin: (Estados Unidos)
2013-07-01,60
2013-07-02,100
2013-07-03,76
2013-07-04,51
2013-07-05,54
2013-07-06,51
2013-07-07,46
2013-07-08,48
2013-07-09,45
2013-07-10,54
2013-07-11,38
2013-07-12,38
2013-07-13,39
2013-07-14,35
2013-07-15,39
2013-07-16,38
2013-07-17,36
2013-07-18,38
2013-07-19,40
2013-07-20,29
2013-07-21,32
2013-07-22,43
2013-07-23,51
2013-07-24,48
2013-07-25,43
2013-07-26,40
2013-07-27,40
2013-07-28,36
2013-07-29,39
2013-07-30,38
2013-07-31,43
2013-08-01,39
