Categoría: Todas las categorías

Día,Bitcoin: (Estados Unidos)
2014-07-01,87
2014-07-02,100
2014-07-03,90
2014-07-04,83
2014-07-05,69
2014-07-06,64
2014-07-07,82
2014-07-08,86
2014-07-09,69
2014-07-10,69
2014-07-11,77
2014-07-12,64
2014-07-13,63
2014-07-14,63
2014-07-15,79
2014-07-16,90
2014-07-17,85
2014-07-18,97
2014-07-19,81
2014-07-20,73
2014-07-21,72
2014-07-22,80
2014-07-23,83
2014-07-24,76
2014-07-25,78
2014-07-26,72
2014-07-27,65
2014-07-28,73
2014-07-29,72
2014-07-30,86
2014-07-31,80
2014-08-01,79
