Categoría: Todas las categorías

Día,Bitcoin: (Estados Unidos)
2017-07-01,0
2017-07-02,21
2017-07-03,53
2017-07-04,43
2017-07-05,53
2017-07-06,13
2017-07-07,22
2017-07-08,69
2017-07-09,26
2017-07-10,29
2017-07-11,51
2017-07-12,22
2017-07-13,23
2017-07-14,94
2017-07-15,41
2017-07-16,60
2017-07-17,31
2017-07-18,17
2017-07-19,45
2017-07-20,68
2017-07-21,18
2017-07-22,68
2017-07-23,15
2017-07-24,29
2017-07-25,48
2017-07-26,100
2017-07-27,40
2017-07-28,45
2017-07-29,44
2017-07-30,27
2017-07-31,88
2017-08-01,99
