Categoría: Todas las categorías

Día,Bitcoin: (Estados Unidos)
2014-03-01,59
2014-03-02,39
2014-03-03,41
2014-03-04,43
2014-03-05,50
2014-03-06,89
2014-03-07,100
2014-03-08,46
2014-03-09,33
2014-03-10,32
2014-03-11,31
2014-03-12,32
2014-03-13,28
2014-03-14,27
2014-03-15,21
2014-03-16,18
2014-03-17,21
2014-03-18,23
2014-03-19,23
2014-03-20,24
2014-03-21,31
2014-03-22,21
2014-03-23,19
2014-03-24,22
2014-03-25,30
2014-03-26,31
2014-03-27,27
2014-03-28,26
2014-03-29,19
2014-03-30,24
2014-03-31,26
2014-04-01,20
