Categoría: Todas las categorías

Día,Bitcoin: (Estados Unidos)
2015-07-01,76
2015-07-02,72
2015-07-03,64
2015-07-04,83
2015-07-05,70
2015-07-06,81
2015-07-07,79
2015-07-08,92
2015-07-09,73
2015-07-10,95
2015-07-11,67
2015-07-12,100
2015-07-13,84
2015-07-14,73
2015-07-15,74
2015-07-16,64
2015-07-17,64
2015-07-18,69
2015-07-19,63
2015-07-20,60
2015-07-21,60
2015-07-22,65
2015-07-23,65
2015-07-24,67
2015-07-25,64
2015-07-26,68
2015-07-27,73
2015-07-28,73
2015-07-29,54
2015-07-30,64
2015-07-31,60
2015-08-01,99
