Categoría: Todas las categorías

Día,Bitcoin: (Estados Unidos)
2014-10-01,73
2014-10-02,69
2014-10-03,69
2014-10-04,80
2014-10-05,90
2014-10-06,100
2014-10-07,85
2014-10-08,79
2014-10-09,74
2014-10-10,72
2014-10-11,69
2014-10-12,66
2014-10-13,70
2014-10-14,81
2014-10-15,76
2014-10-16,64
2014-10-17,58
2014-10-18,67
2014-10-19,60
2014-10-20,56
2014-10-21,58
2014-10-22,64
2014-10-23,66
2014-10-24,58
2014-10-25,52
2014-10-26,57
2014-10-27,53
2014-10-28,58
2014-10-29,60
2014-10-30,61
2014-10-31,47
2014-11-01,56
