Categoría: Todas las categorías

Día,Bitcoin: (Estados Unidos)
2015-12-01,39
2015-12-02,38
2015-12-03,35
2015-12-04,37
2015-12-05,33
2015-12-06,37
2015-12-07,41
2015-12-08,59
2015-12-09,100
2015-12-10,70
2015-12-11,55
2015-12-12,50
2015-12-13,54
2015-12-14,44
2015-12-15,51
2015-12-16,50
2015-12-17,44
2015-12-18,46
2015-12-19,44
2015-12-20,34
2015-12-21,38
2015-12-22,39
2015-12-23,43
2015-12-24,47
2015-12-25,44
2015-12-26,47
2015-12-27,40
2015-12-28,46
2015-12-29,39
2015-12-30,38
2015-12-31,32
2016-01-01,30
