Categoría: Todas las categorías

Día,Bitcoin: (Estados Unidos)
2011-12-01,42
2011-12-02,60
2011-12-03,49
2011-12-04,66
2011-12-05,59
2011-12-06,50
2011-12-07,68
2011-12-08,27
2011-12-09,40
2011-12-10,50
2011-12-11,30
2011-12-12,67
2011-12-13,47
2011-12-14,55
2011-12-15,31
2011-12-16,40
2011-12-17,37
2011-12-18,39
2011-12-19,9
2011-12-20,58
2011-12-21,43
2011-12-22,69
2011-12-23,51
2011-12-24,41
2011-12-25,100
2011-12-26,64
2011-12-27,67
2011-12-28,73
2011-12-29,44
2011-12-30,75
2011-12-31,75
2012-01-01,47
