Categoría: Todas las categorías

Día,Bitcoin: (Estados Unidos)
2013-03-01,21
2013-03-02,23
2013-03-03,25
2013-03-04,24
2013-03-05,28
2013-03-06,35
2013-03-07,39
2013-03-08,31
2013-03-09,30
2013-03-10,28
2013-03-11,39
2013-03-12,50
2013-03-13,36
2013-03-14,29
2013-03-15,26
2013-03-16,26
2013-03-17,24
2013-03-18,29
2013-03-19,38
2013-03-20,40
2013-03-21,58
2013-03-22,71
2013-03-23,73
2013-03-24,50
2013-03-25,53
2013-03-26,55
2013-03-27,63
2013-03-28,100
2013-03-29,95
2013-03-30,94
2013-03-31,81
2013-04-01,99
