Categoría: Todas las categorías

Día,Bitcoin: (Estados Unidos)
2017-01-01,43
2017-01-02,75
2017-01-03,63
2017-01-04,72
2017-01-05,100
2017-01-06,84
2017-01-07,65
2017-01-08,56
2017-01-09,53
2017-01-10,49
2017-01-11,60
2017-01-12,56
2017-01-13,48
2017-01-14,45
2017-01-15,45
2017-01-16,42
2017-01-17,43
2017-01-18,41
2017-01-19,45
2017-01-20,35
2017-01-21,36
2017-01-22,36
2017-01-23,39
2017-01-24,42
2017-01-25,37
2017-01-26,40
2017-01-27,36
2017-01-28,35
2017-01-29,38
2017-01-30,37
2017-01-31,38
2017-02-01,45
