Categoría: Todas las categorías

Día,Bitcoin: (Estados Unidos)
2011-10-01,62
2011-10-02,67
2011-10-03,56
2011-10-04,78
2011-10-05,67
2011-10-06,84
2011-10-07,73
2011-10-08,84
2011-10-09,62
2011-10-10,71
2011-10-11,73
2011-10-12,46
2011-10-13,49
2011-10-14,32
2011-10-15,44
2011-10-16,63
2011-10-17,55
2011-10-18,80
2011-10-19,93
2011-10-20,84
2011-10-21,63
2011-10-22,57
2011-10-23,54
2011-10-24,57
2011-10-25,61
2011-10-26,51
2011-10-27,37
2011-10-28,43
2011-10-29,20
2011-10-30,28
2011-10-31,22
2011-11-01,100
