Categoría: Todas las categorías

Día,Bitcoin: (Estados Unidos)
2015-08-01,100
2015-08-02,76
2015-08-03,77
2015-08-04,77
2015-08-05,63
2015-08-06,59
2015-08-07,49
2015-08-08,67
2015-08-09,65
2015-08-10,62
2015-08-11,67
2015-08-12,62
2015-08-13,61
2015-08-14,56
2015-08-15,60
2015-08-16,62
2015-08-17,60
2015-08-18,69
2015-08-19,84
2015-08-20,78
2015-08-21,68
2015-08-22,60
2015-08-23,70
2015-08-24,85
2015-08-25,80
2015-08-26,69
2015-08-27,64
2015-08-28,66
2015-08-29,60
2015-08-30,58
2015-08-31,52
2015-09-01,60
