Categoría: Todas las categorías

Día,Bitcoin: (Estados Unidos)
2011-05-01,15
2011-05-02,11
2011-05-03,14
2011-05-04,5
2011-05-05,15
2011-05-06,15
2011-05-07,18
2011-05-08,17
2011-05-09,19
2011-05-10,9
2011-05-11,15
2011-05-12,12
2011-05-13,22
2011-05-14,23
2011-05-15,34
2011-05-16,100
2011-05-17,75
2011-05-18,50
2011-05-19,85
2011-05-20,74
2011-05-21,64
2011-05-22,37
2011-05-23,52
2011-05-24,64
2011-05-25,99
2011-05-26,58
2011-05-27,53
2011-05-28,46
2011-05-29,54
2011-05-30,39
2011-05-31,42
2011-06-01,66
