Categoría: Todas las categorías

Día,Bitcoin: (Estados Unidos)
2013-12-01,56
2013-12-02,71
2013-12-03,70
2013-12-04,63
2013-12-05,92
2013-12-06,87
2013-12-07,100
2013-12-08,58
2013-12-09,59
2013-12-10,61
2013-12-11,54
2013-12-12,50
2013-12-13,46
2013-12-14,42
2013-12-15,45
2013-12-16,44
2013-12-17,48
2013-12-18,100
2013-12-19,70
2013-12-20,51
2013-12-21,43
2013-12-22,46
2013-12-23,43
2013-12-24,40
2013-12-25,36
2013-12-26,36
2013-12-27,38
2013-12-28,35
2013-12-29,31
2013-12-30,31
2013-12-31,29
2014-01-01,28
