Categoría: Todas las categorías

Día,Bitcoin: (Estados Unidos)
2016-12-01,55
2016-12-02,56
2016-12-03,47
2016-12-04,49
2016-12-05,60
2016-12-06,60
2016-12-07,58
2016-12-08,64
2016-12-09,54
2016-12-10,58
2016-12-11,50
2016-12-12,51
2016-12-13,58
2016-12-14,54
2016-12-15,49
2016-12-16,53
2016-12-17,57
2016-12-18,43
2016-12-19,52
2016-12-20,53
2016-12-21,77
2016-12-22,89
2016-12-23,100
2016-12-24,86
2016-12-25,79
2016-12-26,76
2016-12-27,86
2016-12-28,97
2016-12-29,93
2016-12-30,91
2016-12-31,78
2017-01-01,77
