Categoría: Todas las categorías

Día,Bitcoin: (Estados Unidos)
2011-03-01,0
2011-03-02,32
2011-03-03,54
2011-03-04,67
2011-03-05,51
2011-03-06,48
2011-03-07,77
2011-03-08,38
2011-03-09,41
2011-03-10,65
2011-03-11,0
2011-03-12,0
2011-03-13,36
2011-03-14,64
2011-03-15,27
2011-03-16,0
2011-03-17,52
2011-03-18,55
2011-03-19,50
2011-03-20,41
2011-03-21,100
2011-03-22,48
2011-03-23,64
2011-03-24,85
2011-03-25,68
2011-03-26,63
2011-03-27,76
2011-03-28,0
2011-03-29,38
2011-03-30,64
2011-03-31,40
2011-04-01,0
