Categoría: Todas las categorías

Día,Bitcoin: (Estados Unidos)
2016-10-01,71
2016-10-02,76
2016-10-03,69
2016-10-04,68
2016-10-05,65
2016-10-06,60
2016-10-07,63
2016-10-08,59
2016-10-09,64
2016-10-10,68
2016-10-11,80
2016-10-12,77
2016-10-13,71
2016-10-14,69
2016-10-15,62
2016-10-16,67
2016-10-17,74
2016-10-18,60
2016-10-19,73
2016-10-20,63
2016-10-21,65
2016-10-22,77
2016-10-23,80
2016-10-24,79
2016-10-25,79
2016-10-26,76
2016-10-27,89
2016-10-28,83
2016-10-29,100
2016-10-30,88
2016-10-31,85
2016-11-01,99
